,surface,tournament_level,best_of_sets,A_hand,A_has_seed,B_hand,B_has_seed,elo_diff,rank_diff,rank_points_diff,rolling_serve_win_ratio_diff,surface_win_ratio_diff,age_diff,height_cm_diff
132,1,3,3,0,0,1,1,35.609981223784416,49.0,-1422.0,0.0,0.6666666666666667,5.699999999999996,10.0
133,1,3,3,0,0,0,1,17.58334407234429,44.0,-1300.0,-0.0273544258798869,0.4,0.8000000000000007,3.0
134,1,3,3,1,1,1,0,-55.27876437375244,-49.0,970.0,0.0,-0.41666666666666663,9.700000000000003,20.0
135,1,3,3,1,1,1,0,-17.64547801016124,-23.0,527.0,0.007719199497118523,-0.19999999999999996,0.10000000000000142,13.0
136,1,3,3,1,1,0,0,51.37310508241876,-27.0,430.0,0.05203674538848535,0.0,-15.399999999999999,8.0
137,1,3,3,0,0,1,1,68.76115634752682,37.0,-870.0,-0.035716314152554496,0.6,-13.200000000000003,-20.0
138,1,3,3,1,1,1,1,-25.509719593470436,-10.0,280.0,-0.03906274241654095,-0.16666666666666663,7.700000000000003,0.0
139,1,3,3,0,0,1,1,-26.301935131125447,33.0,-698.0,-0.009881281891823357,0.1428571428571429,-9.100000000000001,-8.0
140,1,3,3,1,0,0,0,0.0,23.0,-133.0,0.0,0.0,-1.3000000000000007,-10.0
141,1,3,3,0,0,1,0,0.0,-504.0,302.0,0.0,0.0,-12.600000000000001,-2.0
142,1,3,3,1,1,1,0,19.879852051387843,-57.0,684.0,0.0,0.13836836659479934,2.6999999999999993,8.0
143,1,3,3,1,0,1,0,20.0,-37.0,437.0,0.0,0.5282983000718673,6.300000000000004,15.0
144,1,3,3,1,0,1,0,42.23028477860612,-18.0,307.0,0.0,0.2217016999281327,3.200000000000003,-5.0
145,1,3,3,1,0,1,1,19.040201245269145,23.0,-401.0,0.0,0.16666666666666669,0.3000000000000007,0.0
146,1,3,3,1,0,1,1,36.561059543144665,55.0,-691.0,0.0,0.3333333333333333,-0.8000000000000007,8.0
147,1,3,3,1,0,1,0,0.0,-55.0,580.0,0.0,-0.02829830007186729,4.200000000000003,-8.0
148,1,3,3,1,0,1,0,-22.300045111381678,-4.0,30.0,0.0,-0.5,-2.1000000000000014,5.0
149,1,3,3,1,0,1,1,-56.62286749482428,6.0,-130.0,0.0,-0.5282983000718673,11.7,-31.0
150,1,3,3,1,0,1,0,-18.91597149942322,36.0,-350.0,0.0,-0.13836836659479934,-7.799999999999997,4.0
151,1,3,3,0,0,1,0,20.0,-23.0,287.0,0.0,0.5282983000718673,6.199999999999999,5.0
152,1,3,3,1,1,1,0,-58.982847093474675,-74.0,1080.0,0.0,-0.75,-8.5,10.0
153,1,3,3,0,0,1,1,-18.736723036562807,120.0,-938.0,0.0,0.25,-2.6999999999999993,-10.0
154,1,3,3,1,1,1,0,65.19295226488407,-27.0,719.0,0.0,0.0,-10.000000000000004,-10.0
155,1,3,3,1,0,1,0,40.90616177047036,-22.0,390.0,-0.012106903628117394,0.13333333333333341,7.100000000000001,-21.0
156,1,3,3,1,0,1,0,-22.158697386490758,51.0,-571.0,0.0,-0.16666666666666663,-1.8000000000000007,5.0
157,1,3,3,1,1,1,0,-20.131911330384582,-26.0,457.0,0.0,-0.13836836659479934,-4.399999999999999,0.0
158,1,3,3,1,0,1,0,54.479763806321444,46.0,-497.0,0.0,0.75,-11.399999999999999,5.0
159,1,3,3,0,0,1,0,18.84997744430916,-46.0,522.0,0.0,0.4717016999281327,9.299999999999997,5.0
160,1,3,3,1,1,0,0,-56.69729630511915,-135.0,1324.0,0.01165234638749657,-0.6,-7.600000000000001,10.0
161,1,3,3,1,1,1,0,22.866266000706446,-15.0,475.0,0.045499164820756666,0.16666666666666663,-7.400000000000002,13.0
162,1,3,3,1,0,1,1,-2.042457621893618,61.0,-783.0,0.013782964012153398,-0.4,-5.699999999999999,5.0
163,1,3,3,1,0,0,0,0.21121312796208258,48.0,-530.0,0.0,0.0,-9.299999999999997,-3.0
164,1,3,3,1,1,1,1,111.40383917046961,-4.0,143.0,0.010741457353891648,0.5,2.8000000000000007,-5.0
165,1,3,3,1,0,1,0,-18.732298622708186,1.0,-6.0,0.044798871108129634,-0.33333333333333337,0.1999999999999993,8.0
166,1,3,3,1,1,1,0,72.50736533357872,-73.0,1205.0,0.01054243344964434,0.2857142857142857,-0.6000000000000014,-5.0
167,1,0,5,0,1,1,0,36.006458568557036,-72.0,9492.0,0.03829813477025501,0.13836836659479934,7.100000000000001,5.0
168,1,0,5,0,0,1,0,0.0,17.0,-180.0,0.0,0.0,-1.6000000000000014,8.0
169,1,0,5,1,0,1,0,0.0,-101.0,248.0,0.0,0.0,6.800000000000001,-13.0
170,1,0,5,1,1,1,0,1.0400187524689954,-109.0,1043.0,0.0,-0.02829830007186729,1.3000000000000007,5.0
171,1,0,5,1,1,1,0,74.20396999865784,-27.0,530.0,0.0,0.75,0.09999999999999787,2.0
172,1,0,5,1,0,1,0,50.149382099094964,15.0,-207.0,0.10876161144416385,0.3,1.0,3.0
173,1,0,5,1,0,1,0,-15.898109756323493,-15.0,115.0,0.0,-0.19496496673853397,-6.099999999999998,0.0
174,1,0,5,1,1,1,0,32.406149632531196,-179.0,1741.0,0.04321396285078227,0.13836836659479934,-0.8999999999999986,20.0
175,1,0,5,1,1,1,0,0.011294903294356118,-81.30573199663274,1001.3992117548021,0.0,-0.02829830007186729,-3.1000000000000014,13.0
176,1,0,5,1,0,1,0,1.0840367134260305,-14.0,44.0,0.0,0.02829830007186729,11.299999999999997,15.0
177,1,0,5,1,0,1,0,1.1912341544900755,-39.0,362.0,0.0,0.0,2.6000000000000014,-2.0
178,1,0,5,1,0,1,1,6.18285693154121,234.0,-1522.0,-0.044659669447138284,0.09972687150043874,11.900000000000002,-3.0
179,1,0,5,1,1,1,0,-37.945255076888316,-141.0,1047.0,0.0,-0.2782983000718673,-1.3000000000000007,8.0
180,1,0,5,1,0,1,0,18.659842320448433,-27.0,91.0,0.0,0.13836836659479934,7.700000000000003,10.0
181,1,0,5,0,0,0,0,0.06432832090558804,98.0,-753.0,0.0,0.0,-5.0,-5.0
182,1,0,5,1,1,0,0,19.687477373698584,-39.0,4779.0,0.0,0.3333333333333333,-5.199999999999999,5.0
183,1,0,5,1,1,1,0,92.34420579611265,-46.0,4910.0,0.03873859210617803,0.8,2.0,10.0
184,1,0,5,1,0,0,0,0.0,79.0,-309.0,0.0,0.0,-3.0,5.0
185,1,0,5,1,0,0,0,-18.91597149942322,-157.0,419.0,0.0,-0.5282983000718673,3.3999999999999986,10.0
186,1,0,5,1,0,1,1,-1.150022555690839,63.0,-755.0,0.0,0.0,-14.300000000000004,8.0
187,1,0,5,1,1,0,0,-27.070259829005636,-67.0,1220.0,0.040042264857399146,-0.16666666666666669,9.100000000000001,25.0
188,1,0,5,0,0,1,0,0.0,22.0,-36.0,0.0,0.0,-0.8999999999999986,-3.0
189,1,0,5,1,0,1,0,-40.124648021766916,31.0,-313.0,0.0,-0.25,15.599999999999998,7.0
190,1,0,5,1,1,1,0,23.193614174089134,-77.0,1451.0,0.0,0.13836836659479934,7.199999999999996,8.0
191,1,0,5,1,1,1,0,40.072193564790496,-47.0,1635.0,0.0,0.25,-3.799999999999997,-8.0
192,1,0,5,1,0,0,0,41.00315425800659,2.0,-20.0,0.022967817517023703,0.2666666666666666,4.400000000000002,0.0
193,1,0,5,1,0,1,0,0.0,-140.0,403.0,0.0,0.0,10.0,-20.0
194,1,0,5,1,1,1,0,148.70304208374318,-99.0,1523.0,0.05893047749037361,0.4717016999281327,-3.400000000000002,5.0
195,1,0,5,1,1,1,0,-19.040201245269145,-58.0,848.0,0.0,-0.19496496673853397,5.799999999999997,5.0
196,1,0,5,0,0,1,0,19.933799621936714,-55.0,528.0,0.0,0.13836836659479934,6.400000000000002,3.0
197,1,0,5,1,0,1,0,4.3332922096526545,50.0,-504.0,0.0,0.02829830007186729,6.100000000000001,13.0
